hidden0,hidden1,hidden2,hidden3,hidden4,hidden5,hidden6,hidden7,hidden8,hidden9,hidden10
0.000000000000000000e+00,4.153002845034625690e-01,4.449757246175296554e-01,3.092490180437433844e-01,3.357064472770184826e-01,3.313967501474484600e-01,4.751457307713842226e-01,3.684140387077408096e-01,4.609221729108232690e-01,2.377156168524083568e-01,3.246623673810406507e-01
1.717523567604090778e-02,-3.773534821918780868e-01,-5.322227944776620756e-01,-4.039842738930999877e-01,-3.897856436688478809e-01,-4.401659911247120527e-01,-4.626257032184391549e-01,-6.075478534805405229e-01,-2.947533306236130302e-01,-3.705478679608445458e-01,-2.713086147847897922e-01
1.914337546331019990e-02,-4.524829664733280299e-01,-5.255808976359895857e-01,-4.389667912276443151e-01,-4.230342977495214485e-01,-4.874324524146314008e-01,-4.620095992310725430e-01,-5.593358669138756012e-01,-4.346998918957781233e-01,-4.336244015229726023e-01,-3.440871445170775034e-01
8.104059890205446426e-02,-5.721806213263181951e-01,4.353981302177608592e-01,-3.039811016699182078e-01,-1.276536695885016059e-01,2.630408711678139944e-01,1.609576461309100703e-02,6.726665961057335386e-01,-6.624772155055109746e-01,8.121284397818444301e-03,-6.503890605938013048e-01
3.673612310894053823e-01,-5.925118374498229423e-01,-7.546331077538808163e-01,-6.105290578978739280e-01,-6.436286196780653945e-01,-6.632002216916726978e-01,-6.473691483633406962e-01,-8.330318449240149414e-01,-5.041867669702972954e-01,-6.521729460321671334e-01,-4.613327036828740457e-01
3.764494481124850966e-01,-2.113540717009942949e-02,-3.396419798860673689e-01,-2.456008755098499641e-01,-9.890650879300497134e-02,-4.078605884440490437e-01,-5.514038309050474373e-02,-6.493318316183214201e-01,4.447700170851583423e-01,-5.965544865644684114e-01,2.587169610597359060e-01
-8.505823249318950063e-02,-3.327592615479824101e-01,-3.553653174222106137e-01,-3.223471250276318534e-01,-3.512888152422176669e-01,-3.319174439749139616e-01,-2.784640240389010257e-01,-3.750608581368850003e-01,-2.085290825493107125e-01,-3.086438757838352864e-01,-2.368444784904696343e-01
-6.260018729481514610e-02,-4.310550233041136603e-01,-4.141508807230514511e-01,-3.970302527456712194e-01,-4.189428051955948473e-01,-3.786266587930810501e-01,-4.514265646898183437e-01,-4.108845055308120719e-01,-3.963367435525076976e-01,-3.656173554149161342e-01,-4.306580212739732350e-01
-5.492979398251247591e-01,9.453081810807133500e-01,8.911689319878000060e-01,7.641010090665487642e-01,7.220038993046555831e-01,7.168023395082195881e-01,9.646693385073015214e-01,7.918803357213306526e-01,9.476572626379998754e-01,6.028021309003973593e-01,7.354596658720058411e-01
8.551567467261990407e-02,-3.572742645721224686e-01,-2.391122479224711828e-01,-3.146533485286656107e-01,-2.576220451865576799e-01,-2.864785868059678275e-01,-2.738828251870856767e-01,-2.785588641545220789e-01,-1.911348853852023744e-01,-3.874718837113163006e-01,-2.621154531280106004e-01
1.261830463633797916e-01,-3.695838586605341147e-01,2.107102459841603548e-01,-2.606517214233609048e-01,5.555808179401534180e-02,-1.351919509111949858e-01,1.219417753554075806e-01,8.234924999504419918e-02,8.615050029807852505e-02,-6.017886555189936315e-01,-1.495271971048565685e-01
4.003363818049063272e-01,-6.492446405840821555e-01,-7.658180867879034182e-01,-6.449869196460945586e-01,-6.499148582492749737e-01,-6.633855016137145677e-01,-7.404260564857372273e-01,-8.634511570108710510e-01,-6.065539429844276631e-01,-6.882451399680503679e-01,-5.167222600897620755e-01
2.938798924277262192e-01,-6.499577054744946070e-01,3.718947036224620750e-01,-2.384302602593628695e-01,-1.204658931540481398e-01,3.567532668203211021e-01,-1.241294049350831624e-01,7.672700833593271152e-01,-1.040932738091455256e+00,3.108810638831622786e-01,-8.403847548583384119e-01
3.102855223758695796e-02,6.597889718738549070e-02,1.295635286112485629e-02,-8.664820705364190134e-02,2.784758367384319519e-02,-2.264678590166384342e-01,9.612683011475896266e-02,-2.726544959005997026e-01,4.363280316001671988e-01,-4.821967591338335302e-01,1.814443019194699469e-01
-2.384730313689735134e-02,-3.941443297688848046e-01,-4.386839172141763221e-01,-3.652654959350649655e-01,-3.943664635084099812e-01,-4.360702295687918784e-01,-4.244026618209314483e-01,-4.393679506310657068e-01,-3.559433473654413094e-01,-4.149201875425002628e-01,-3.150457339052782357e-01
9.942583429721482680e-02,-5.960296800406039708e-01,3.014822376635147849e-01,-2.348822881925457517e-01,-1.445397638902245763e-01,1.006257615735886152e-01,-1.025171562080400417e-01,5.203267827748222496e-01,-7.244856573777647135e-01,-7.015251496423560371e-03,-6.669441549010206582e-01
4.039218124461167458e-01,-6.330978255537288435e-01,-7.844187345284818758e-01,-6.976084197644852880e-01,-6.932204706353516377e-01,-6.948699893679896045e-01,-6.937730337062911756e-01,-8.282393063015089929e-01,-5.682674676509517075e-01,-6.601702892389208488e-01,-5.395306557746881726e-01
2.532258157933458056e-02,-5.635893130324217681e-01,-4.998377158037735635e-01,-4.657554600921806065e-01,-4.601673917373671485e-01,-4.204491868754585138e-01,-4.943138291448674893e-01,-4.872049676905226834e-01,-5.623430660419612703e-01,-3.976064667670049513e-01,-4.663977021743316298e-01
3.644643276013431049e-02,-5.121492369556372992e-01,-5.379165872320340602e-01,-5.026056722008067634e-01,-4.612545554275844784e-01,-4.777048473314787214e-01,-5.049814345972223339e-01,-5.059143644665147210e-01,-5.363152541077517155e-01,-3.798629750683681361e-01,-4.848126370879514702e-01
-3.505851076371288011e-01,2.345536374632596621e-01,1.006843562946969917e-01,2.470507063142141913e-01,8.001908532692500464e-02,2.389408728862420228e-01,3.379272627404562163e-02,2.143569121880571915e-01,-1.186489914186222017e-01,4.725827644215724876e-01,-4.855914231035407536e-02
1.461956025790823455e-01,-4.870627829308929457e-01,-6.320946705712818803e-01,-5.396384136332070813e-01,-4.737841187657255149e-01,-5.781456213387132781e-01,-5.408973787604836048e-01,-6.417814171594360406e-01,-4.648450989081441276e-01,-5.002341271422084956e-01,-3.695999968387649326e-01
-1.079882888613737171e-02,-3.797768800663705036e-01,-4.900559411018277078e-01,-4.252613630017983981e-01,-3.971876455395047523e-01,-4.433961587609421273e-01,-4.423119241936270818e-01,-5.861186575174188729e-01,-3.963348105542835453e-01,-4.466567815158440924e-01,-3.827785883772683584e-01
-3.551758065309764539e-02,-4.606411418392742374e-01,-2.966812422729619425e-01,-3.803187110912045754e-01,-3.392554341598398859e-01,-2.906351604435933322e-01,-3.662578783458870779e-01,-2.886369637314219472e-01,-4.436209320440212545e-01,-3.094152933416308704e-01,-3.665647963595168313e-01
2.427523046104416993e-01,-5.662601522369605789e-01,-7.350829292871319254e-01,-5.312484047465801940e-01,-5.368071025642108252e-01,-6.192005950288603788e-01,-6.066968104047656407e-01,-7.402663307610175547e-01,-5.478460408836103301e-01,-5.725962759971309213e-01,-4.807225743136813167e-01
8.714718756905315278e-02,-5.298107796955620064e-01,-5.826756221343750708e-01,-4.855533979061032457e-01,-4.650714493079038947e-01,-5.408016048659969321e-01,-5.501301377704009843e-01,-6.349218563664018600e-01,-4.309055631172566958e-01,-4.608616791059512718e-01,-4.304905680844003935e-01
1.130940340416527190e-01,-3.665039014392663663e-01,-4.829900920650765928e-01,-4.011867997112678053e-01,-3.348199965074766249e-01,-4.538513625568071919e-01,-3.731727295597728200e-01,-5.606703791004062909e-01,-2.045577372025524920e-01,-4.713889841932781266e-01,-2.007443904348389374e-01
