hidden0,hidden1
0.000000000000000000e+00,7.237820660454118205e+00
7.213311642062907314e-01,-3.672294571231090821e+00
5.903199593739223427e-01,-3.485770090736584503e+00
6.121362844143796167e-01,-3.506512174577554486e+00
6.605129789301421583e-01,-3.592885872110352263e+00
5.610767728597315651e-01,-3.451329056378901861e+00
5.969617514686591520e-01,-3.511269868259184967e+00
6.573613196065077879e-01,-3.571338915048657636e+00
4.522774472919410260e-01,-3.297303674299469023e+00
6.255980356787900210e-01,-3.518048873234619123e+00
5.341618841682659324e-01,-3.416837180342475744e+00
